label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state
capture_only_v5_codex_trial_00047,2.0623853655491264,0.8951823947721537,0.6092085112068754,0.5005007869208564,0.09024793658353546,0.14995402914612851,0.004193882070078784,5.7247578128592765e-08,605207.4114635694,11184347975720.904,5.0485177369676055e+19,0.6131753665758665,1.7790764258007639,0.024561176026527073,2.8821428945470213,1.7786893200858969,0.4221176728379736,0.285966565717141,2.593173116314814,3.0624619333059298,98.53080116979434,6.471826394736637e+18,6.705177805303056e+18,5.819259660271909e+18,-0.06154256258117718,4.166454762589065,10.807212105727542,0.00013142530279073992,0.03610704705208471,0.03610704705208471,12.0,22,0,4.2934800659537927e-19,3.069617254985563e-105,3.6227074454014454e-87,1.8937543218494947e-105,0.6169350002101163,9.339757813390071e-20,9.300043464832977e-19,1.256847662149098e-20,700.0,800.0,1.35,138.0980583954364,184.99807737821817,234.91913182177478,294.11683655126643,39.56725722564205,46.90001898278177,49.92105444355661,109.11875917304826,59.19770472949165,0.75,350.0,2.1297680790636364,1.5898372605784497,1.2519918419177667,2.8,73.50299733926819,72.09853095422115,60.80102879782349,0.9606921906516673,0.06812197123434506,64.1054851369291,85.17762957421074,84.63215534486852,78.65238780885161,43.143653850927585,10.421602575081922,1.8305459993717852,20.527817486197307,22.11715732263718,32.929661321619704,90.14927110230886,91.01573613738502,29.787124598736938,9.732136061667237,10.41508186909249,15.837774003410438,48.51237890003575,78.1378865353644,85.42098578352542,capture_only,0.4766291455574651,0.3212731881630643,0.11510168023483591,0.0004034292508944049,3.2333628921886626e-05,0.15014553847588283,0.09932441204843682,0.002143250686806835,0.0002346114176076244,2.343810413199467e-05,1.0602605341260762,1.3427588452381498,5.4925560289770585,5.463038534978624,6.154208200321967,8.889633277788564,8.916109557751724,6.013586204910281,4.940088825646147,4.853438373990552,5.475630544818179,8.341823998349865,11.440276278136084,12.74844477899867,0.0641239055141528,0.01964790937340662,0.0,0.0,0.027799964830804987,0.3570917067966062,3.9165703596472805,47,TrialState.COMPLETE
capture_only_v5_codex_trial_00191,2.0627798149927483,0.8803324143144311,0.6043155733987503,0.47625676933985966,0.12399479916154593,0.1258448013846202,0.09272135003414916,2.5261983207297694e-07,826307.7400216226,10779776183463.133,6.190010053363643e+19,0.607354268519021,2.3925423285269316,0.03013944737626957,3.3895824588243126,2.999415421608619,0.6490137536034174,0.2902266156091515,2.5669733708163984,2.5752367326811294,90.31560449178363,8.318487626913332e+18,8.772947177770214e+18,7.093548713092628e+18,-0.09228195897852944,4.010618976101661,9.479170715044656,0.00014937937159859065,0.031716676601633575,0.031716676601633575,12.0,22,0,4.2934800659537927e-19,3.3989749307577386e-105,3.305303359996624e-87,1.7976328378217808e-105,0.5288749915613622,1.145151859872274e-19,1.3012157091816808e-18,1.2478300269751174e-20,700.0,800.0,1.35,127.81168578860247,175.20269798491339,231.851259325306,317.0486408434265,37.49608129681884,47.39101219631091,56.648561340392604,141.8459428585131,85.1973815181205,0.75,350.0,2.4805919653373283,1.8096104939589879,1.36746568367171,2.8,73.27427725195194,71.47694066398417,60.04433515070236,0.8492172091875646,0.05363625076562575,63.57601053150658,85.59982427705005,84.91167044632397,79.22476518943306,45.486630134046734,14.537861224221167,2.696825830656985,21.840357727330616,23.718712401131246,34.7452294897764,91.95931273220808,92.68100074640793,31.31600680170943,10.00858111298109,10.779503338148482,16.049072806191884,47.59005245745956,75.93710513666444,86.60010431109843,capture_only,0.2532075055508373,0.18082266269566521,0.07041141579662756,0.0002496395531371166,2.3048334798669542e-05,0.08175587496260811,0.056974083742781095,0.0013639102760461953,0.00014466842236875616,1.5241182955456281e-05,1.032264726935201,1.3166960889386354,4.63215751516662,4.62352427218892,5.140023943724601,7.191220419051244,7.265339954491661,5.050410527679746,4.309838735006265,4.251852131784792,4.704844150107586,6.921953498217687,9.524888970692011,10.703054617061646,0.017701873068380773,0.019742322782974126,0.0,0.0,0.054879908991718546,0.35027532880833917,3.4572132634384958,191,TrialState.COMPLETE
capture_only_v5_codex_trial_00195,2.064252107522854,0.8587676700132219,0.6109908273507996,0.47740700443619144,0.1377749161534402,0.13422111601992293,0.09368566712941341,2.512798898173513e-07,901203.6063019825,10644924484643.812,6.203769759434149e+19,0.609958839757302,2.280850592755934,0.020606305360720983,3.958094043814616,3.0010157138120044,0.6581125066702035,0.24409891542623532,2.489299214027307,2.765316226666177,87.17649330333892,8.969955869578531e+18,9.447682974826615e+18,7.66468307146258e+18,-0.09083110989211199,4.1085926417845595,9.959580756176068,0.00012840937937701354,0.030424013011354334,0.030424013011354334,12.0,22,0,4.2934800659537927e-19,3.402750605911299e-105,2.5972758202444234e-87,1.4132238680253465e-105,0.41531808577751106,1.1476974054953176e-19,1.2410512861044937e-18,1.253214756824996e-20,700.0,800.0,1.35,123.45037002202183,169.6392265260037,224.78581953352275,306.7263560438248,36.273876718682914,46.18885650398188,55.146593007519044,137.0871295178211,81.94053651030205,0.75,350.0,2.4846126908255446,1.8081098477350535,1.3645271604781195,2.8,73.9742044786488,72.33505495658798,61.19394601010216,0.9548989879719794,0.06330596572143628,64.355253705901,85.24423639289202,84.55396225679799,78.5458811695623,43.030692544129785,13.11325145086213,2.40228322016772,21.425218570554623,23.13727504824875,33.90634653972491,92.23398582593431,93.06284032174297,30.8532324958705,10.657551278966539,11.420762293563664,17.07766139414122,50.70527424999783,78.39551019186645,88.09995824127869,capture_only,0.21626191548981738,0.15342861371630628,0.060065366541773066,0.00022599883667957674,2.0878254717361182e-05,0.06726961653629722,0.04652914445148562,0.0011509648767930138,0.00012388395122979248,1.3007589464155848e-05,1.0436142358391634,1.2937936115984816,4.384315035306784,4.374241381446969,4.839642083631188,6.810889187257047,6.873832834280892,4.742738086006807,4.030942711605148,3.9787463051868355,4.359015415112617,6.262882240995599,8.491114473320202,9.497745530964126,0.01790271667161735,0.017901618132888045,0.0,0.0,0.052074819789426706,0.38399364795906193,3.60661015599936,195,TrialState.COMPLETE
capture_only_v5_codex_trial_00193,2.066820627586695,0.8715465796985773,0.6124507525655764,0.47475044147337064,0.13478534693876174,0.1318861124234259,0.09095597866060609,2.6390708854145783e-07,892356.1963188273,11109181092979.867,6.1648992425317695e+19,0.602569151328069,2.3786537281200677,0.02492651656972681,3.4959890551209374,2.9800126162581866,0.6528115909000094,0.2459292720630345,2.6352111109566643,2.5482112270854085,87.98523399978137,9.236287088280287e+18,9.756868456214559e+18,7.854793648521993e+18,-0.09417566952084724,4.244502868969062,9.490168027254606,0.0001283495273379403,0.02971571000474185,0.02971571000474185,12.0,22,0,4.2934800659537927e-19,3.3920736695353112e-105,2.6189733410876834e-87,1.4231465585060608e-105,0.4195506044834873,1.1405063598683774e-19,1.2925572070335748e-18,1.2379382610927688e-20,700.0,800.0,1.35,124.23570808716535,169.3443544783745,221.9106176387478,298.6964857507074,36.25047408738398,45.10864639120915,52.566263160373296,129.35213127233288,76.78586811195959,0.75,350.0,2.40427241370201,1.7638408240461971,1.3460216051354543,2.8,72.44143615250194,70.55873817311763,58.70806152238248,0.7554451209380065,0.05120762169272656,62.18623733605084,84.83652430980146,84.07644547698415,77.89917833109234,42.335136468920105,12.670462404600068,2.187143534997049,22.80399603004436,24.75951646159831,36.21969252020148,92.36285472837565,93.01890191132316,32.846368785254064,10.909717249787489,11.745184448566716,17.53400664048492,51.07748625839548,78.44465477044176,87.92844104193806,capture_only,0.2328743177670963,0.16609989674272035,0.06480360520645359,0.00022350779131171577,1.999767977142753e-05,0.07375864981001576,0.0512144053953162,0.001242807522480152,0.00013078401354318673,1.3429076291418024e-05,1.034109669049353,1.3141204219067142,4.52169349968662,4.515645468541347,5.007442352209597,6.881476642895031,6.929870469304341,4.914585657645173,4.17999979060105,4.127155669053825,4.547661103682841,6.586134465161938,8.884752040944653,9.88440199398862,0.01737433378841319,0.02080680102907824,0.0,0.0,0.04773835285564106,0.3667797845289286,3.519314900604291,193,TrialState.COMPLETE
capture_only_v5_codex_trial_00185,2.067408844685926,0.8793928688870777,0.6003198730492103,0.47483899029278376,0.11769776955931259,0.13775268363253193,0.08390426716421415,2.8527743279843345e-07,803343.1230899721,10528427578698.059,6.065607044986659e+19,0.596700589767543,2.4690511543408773,0.026120616368025346,3.307359057530095,2.9994336311920757,0.6602102422571904,0.2775658920970667,2.55098662860046,2.566057674534517,91.71985801471718,7.892770076863349e+18,8.330340201334921e+18,6.707898916216007e+18,-0.09407622840597707,4.074690278509351,9.44313023436529,0.00013643270093886036,0.030271852364383598,0.030271852364383598,12.0,22,0,4.2934800659537927e-19,3.3646463245288887e-105,2.9307563415746995e-87,1.5871854948548682e-105,0.47172431862570363,1.1221373033225318e-19,1.3371436317080216e-18,1.2256432775276306e-20,700.0,800.0,1.35,130.13263420732233,179.13068898805741,238.97558209651532,332.17923847230537,38.41277619260515,48.99805478073509,59.84489310845791,153.04854948424796,93.20365637579005,0.75,350.0,2.5526205666680823,1.854396029786117,1.3900133041130025,2.8,73.68901337088049,71.8736509460821,60.464812713516224,0.8889151092079188,0.05494383339856832,63.84590737636486,85.52679615572318,84.81153440020087,78.9613692461864,44.77418494142412,13.995751383946596,2.515797356179424,21.523988610851845,23.40743556522503,34.40548955506267,91.97948161868896,92.7198732345588,31.130010778864097,10.182005366672735,10.97052367410972,16.414938698183192,48.48627785365482,76.78190156841515,87.14753888082537,capture_only,0.23021131431599443,0.1640366245846285,0.06358604324391166,0.00023195163313373073,2.213071233726838e-05,0.07344098409327121,0.05091334875478067,0.0012177058373959147,0.0001294466270197009,1.3624111465643905e-05,1.030947724435852,1.3376050599511324,4.556786703951673,4.554876864108241,5.0661116881771955,7.13137132046998,7.225160801330287,4.972156273522018,4.217757493510822,4.167028576934666,4.604765554062028,6.738319499083671,9.222217601011234,10.336650138883732,0.01406447621814954,0.018087514194378478,0.0,0.0,0.06314786318144876,0.36276986582174525,3.454724005617232,185,TrialState.COMPLETE
capture_only_v5_codex_trial_00173,2.0686411012345314,0.8956269538023596,0.6013060147536855,0.48244083786742603,0.10663127152010277,0.13091381395197496,0.08333722098631474,2.3783584846581475e-07,722532.9666880172,10799100965913.664,6.0576925192543896e+19,0.6029413065779988,2.356764778916708,0.03461224198910097,2.9108778314591537,2.846095951261397,0.5861667556124418,0.31134879982617114,2.5822140310933084,2.46777086367334,94.38195748839627,7.332240240204379e+18,7.698277087365463e+18,6.338155482095252e+18,-0.08443065006820352,3.9478748019818766,9.129962008166888,0.00015140707182106566,0.030605710129982158,0.030605710129982158,12.0,22,0,4.2934800659537927e-19,3.362450478994195e-105,3.941411842142433e-87,2.1339407466770426e-105,0.6346385649418889,1.120673116062062e-19,1.2759885527034787e-18,1.2384426346517212e-20,700.0,800.0,1.35,133.26282153917745,181.6494947247302,238.312635800106,319.97293339672643,38.880864050781184,48.38667318555275,56.66314107537579,138.32343867199623,81.66029759662044,0.75,350.0,2.401066776922915,1.761485402872219,1.3426603768719851,2.8,73.27774312790812,71.43551553778181,60.019586031617564,0.8506590613708251,0.05404202366801615,63.67279419985606,85.82343009721272,85.1556087869061,79.65256062895342,46.9465871962687,14.764652364803023,2.71927324437011,21.586627510468247,23.515194453940957,34.4947571584113,91.5459336536397,92.27245249953543,30.945449484755116,9.561375826470622,10.31548838604892,15.347072614266752,45.6202356106089,74.942854822254,85.6830580728425,capture_only,0.29276801803195374,0.2094608877353463,0.08075890701919969,0.0002797807727267837,2.5113484690686114e-05,0.09555379198005845,0.06666483241540311,0.0015508270759717945,0.0001650190212654318,1.7344666653446658e-05,1.0255828122354493,1.3487048132810833,4.842861343591677,4.83982912054187,5.404897902951934,7.603127504216763,7.673480363311858,5.315532224655488,4.519640284336612,4.4622379946295885,4.9756123628734255,7.431626366046411,10.292327793921704,11.597651338120725,0.024710801345895917,0.02203921485393432,0.0,0.0,0.0500405714522888,0.33560714761813853,3.3438282691341494,173,TrialState.COMPLETE
capture_only_v5_codex_trial_00186,2.069819771052191,0.8806087765158105,0.6001521095981591,0.47410452402932124,0.12234785977582698,0.1269858645640499,0.08473982062345645,2.753697450362152e-07,809697.8748708437,10500808187704.465,6.0772880993589895e+19,0.5981341571476019,2.4801915680161986,0.027920906944947813,3.539597391079503,3.0000731801727696,0.6859206944744829,0.29747395754288836,2.471862087878755,2.6742104643506233,90.6128617364075,7.93169649666465e+18,8.372452058257839e+18,6.727031073610281e+18,-0.09502923560521145,3.8999977179849057,9.678899600400282,0.00014830829838722104,0.032053878673147254,0.032053878673147254,12.0,22,0,4.2934800659537927e-19,3.3678845587625676e-105,3.1419470689646194e-87,1.7022372852122929e-105,0.5054321950505724,1.1242982983814131e-19,1.3437128216604768e-18,1.2286160898056496e-20,700.0,800.0,1.35,128.8194032891305,178.43793345123183,240.45524578339806,339.6628843028318,38.206541552722996,49.61853016210134,62.01731233216623,161.22495085159997,99.20763851943374,0.75,350.0,2.636736979292403,1.9035351829809424,1.4125825502214242,2.8,74.45981265273117,72.76273116994231,61.72345147972531,1.0006470096571085,0.05917534464365911,65.05985417159845,86.02752824195991,85.36766357156874,79.81290481222182,46.61534898889174,15.427412994589405,2.9678752179423413,20.765770083206192,22.536104913792144,33.16533714489581,91.78989497589538,92.6181047122648,29.932109906647824,9.678104233228613,10.415217882509237,15.565294050631595,46.61706215493563,75.19829354402232,86.45448513567042,capture_only,0.2292723641032639,0.1627653999913452,0.0629494045106913,0.00023880511361844414,2.325971769873004e-05,0.07372481262319784,0.05108377790150214,0.001219326780286284,0.0001302146363464355,1.4008089336506258e-05,1.0348237798942055,1.3100258640026974,4.545144899959389,4.538398516274189,5.04826197086817,7.209219209333897,7.322696683373853,4.956528137806486,4.220642712188299,4.16603476802052,4.6028259972079315,6.766369529392354,9.374163246751918,10.577625638297913,0.012512372653924745,0.02073666388335366,0.0,0.0,0.0704502214283007,0.3579816548399735,3.4754621341521195,186,TrialState.COMPLETE
capture_only_v5_codex_trial_00192,2.0700661854273266,0.8794932926519425,0.6056006932254315,0.47212980652287345,0.12563311801757648,0.1346588476824274,0.09184781880828587,2.4737035114586895e-07,874078.9448617935,10715662913565.352,6.1775721039873606e+19,0.6148583882502661,2.40827743697817,0.026140745331589544,3.395823621238016,3.0141485823755483,0.6670835274048582,0.28464043581055376,2.656226701295452,2.5469541598237537,89.9661856635614,8.708404731231327e+18,9.21569045806257e+18,7.362536908742707e+18,-0.09750039405083684,4.26590433709042,9.490509815944005,0.000148660198688197,0.03383355330860162,0.03383355330860162,12.0,22,0,4.2934800659537927e-19,3.3955583340019636e-105,2.9750479809851573e-87,1.617334528345705e-105,0.4763088627134655,1.1428508392376618e-19,1.3092193058919692e-18,1.2632168937599133e-20,700.0,800.0,1.35,127.33279414476702,174.23655431911138,230.17716087211576,315.6673870448363,37.36660848120562,46.903760174344356,55.940606553004386,141.4308327257249,85.49022617272053,0.75,350.0,2.479073746594677,1.8117173418540904,1.3714105511111856,2.8,72.407639277098,70.50624058608004,58.63032228127067,0.7388893178683378,0.04652517188074339,62.13726817367129,84.88681714182167,84.11434897246671,77.94706559590504,42.31772420463764,12.54984939896339,2.152062355293526,22.7564047489262,24.734469394099783,36.209948343158395,92.24451582826765,92.86855388092025,32.808857442371284,10.78665773132303,11.638247253477882,17.401547245999343,50.92197214910822,78.27852852845207,87.64298881031954,capture_only,0.24168947085806136,0.17247789959359575,0.06726508307516414,0.00023334296833051816,2.1859540533771004e-05,0.07690221109136008,0.05346347404085333,0.001304017442075142,0.00013726721551678034,1.405980118202956e-05,1.0335174848435433,1.3300189324358793,4.594266503117747,4.586812120226598,5.092464292495774,7.016361510895695,7.08489908765847,4.998898127099166,4.2496229157639425,4.193940300014559,4.631369303909601,6.758999628812072,9.171484805369035,10.204934774585768,0.015861373078167772,0.02121080058541327,0.0,0.0,0.05607704055573083,0.36269370478704316,3.5317322143450878,192,TrialState.COMPLETE
capture_only_v5_codex_trial_00171,2.0747798802346162,0.9003933710769065,0.6023510283424008,0.4847279481259392,0.11130131986188617,0.11737955744810012,0.08470844365049698,2.547711629292006e-07,714891.3543194352,10836612852573.572,6.076849042396297e+19,0.6000547830585367,2.3411372910985078,0.03856811244603563,2.8758160291799593,2.8265405536810904,0.5866918577920933,0.30964575252704846,2.481990349510552,2.472306220646913,93.29195762780796,7.29757992453947e+18,7.64670829716829e+18,6.337563071795497e+18,-0.08155222876785473,3.700551077955351,9.01027968079284,0.00014836359756992742,0.02803026383654224,0.02803026383654224,12.0,22,0,4.2934800659537927e-19,3.3677628992452707e-105,3.8725272530308007e-87,2.098017981865879e-105,0.6229708101885835,1.124217072843315e-19,1.2683572803515597e-18,1.2325601477832424e-20,700.0,800.0,1.35,131.7751133359119,180.23391214871128,237.4451361330593,319.4663968694477,38.483155708103936,48.45879881279939,57.21122398434801,139.2324847207364,82.0212607363884,0.75,350.0,2.4243302758927348,1.7725099181437922,1.3454324736743624,2.8,74.28216112185545,72.49921345935154,61.54696089611053,0.9942233832692957,0.06373944752611295,65.17043144478737,86.4657605085242,85.84163023447633,80.73126356886046,49.933607370847106,17.177947127388066,3.465994995098594,20.55405600345828,22.423991494258722,32.935199871143645,91.23004423657798,92.08314378856912,29.411630333110743,8.873697429101444,9.583814414764896,14.211494776949836,42.502833567627285,72.19996064706592,84.42907758308053,capture_only,0.30110039212739276,0.2158939102830351,0.08309624811744062,0.0002973362181845776,2.686169948556953e-05,0.09932359364195946,0.06955149306182219,0.0015969270249021567,0.00017064406087679082,1.8522313949921632e-05,1.0231577350765564,1.316418477477483,4.862682482558899,4.860901136106704,5.434742984628399,7.775435043934541,7.853089902205303,5.3494646734670095,4.561218468732414,4.5050038576969715,5.031392340770034,7.561962134500711,10.621921581485122,12.104908899506936,0.02433748374233969,0.0304155262427222,0.0,0.0,0.049976557244612876,0.32609230644226506,3.2390028838970766,171,TrialState.COMPLETE
capture_only_v5_codex_trial_00062,2.075764702996913,0.9025395666642825,0.6127800801524134,0.5049412899428994,0.09596667673005818,0.13447453413911312,0.04574409874443441,1.0884966460094728e-07,494228.1572370809,12622448750782.012,5.5553842482165236e+19,0.6045714234597482,1.214043907861178,0.024660586119007757,1.2598767623279459,1.2819720819562395,0.4310017321161716,0.5411604686156353,2.291346032498177,2.159803976129038,97.01092457828614,5.991563129654798e+18,6.184617206804537e+18,5.436829926527743e+18,-0.05596707666953716,3.669095856442735,7.822312609051836,0.00020311798466177502,0.039937277355990466,0.039937277355990466,12.0,22,0,4.2934800659537927e-19,3.2200256840778846e-105,4.0109489686030715e-87,2.134316654556211e-105,0.6628259721994773,1.0277460859200569e-19,6.460202192034027e-19,1.240536530634958e-20,700.0,800.0,1.35,136.14061325929106,184.26917664902476,237.62039599499693,301.56471860408146,39.12968868100492,48.1285633897337,53.35121934597217,117.2955419550567,63.94432260908454,0.75,350.0,2.2150974010211524,1.6365445599101367,1.269102836653933,2.8,75.45046726921238,73.76808168091748,64.0122652539245,1.4019650984698722,0.0911364952812028,66.99290458400898,86.15281104727802,85.41494231497335,80.11593712494454,47.30044044464289,9.518439831311426,1.355682115944988,18.00189393731501,19.842703303331742,29.19711349121012,88.62659445541941,89.87902109145823,26.412168028000355,8.448669316466104,9.281067074441177,14.002031655570478,43.697804158760455,77.74748418940506,84.46877746624746,capture_only,0.7563830564776061,0.5479349463162804,0.20590438625534857,0.0008190194588588567,6.645236065427327e-05,0.23963995486800996,0.16731029722296786,0.0038555374319617147,0.00045492375026241516,4.544570753818611e-05,1.0095961264168025,1.327210504114681,5.7912557369950175,5.841280069434514,6.584716868610025,9.97062142665187,10.02977596089988,6.4270861972504205,5.158879681387873,5.136680313362505,5.8212423727541,8.997899859164715,12.733621055533247,14.17549497210004,0.04956915967590033,0.0162509661591496,0.0,0.0,0.030577792728010287,0.34455852904388123,2.820881945745583,62,TrialState.COMPLETE
capture_only_v5_codex_trial_00172,2.078540549363095,0.9006710869587993,0.5995411808471813,0.4798027807920885,0.11052193761153246,0.11865614255740414,0.0853924716425439,2.536263560267253e-07,721352.6008080317,10715312209179.125,6.08642781955708e+19,0.5961036118217424,2.3923368469407325,0.038342719372515724,2.9568076132904855,2.868331310331765,0.6321438559280148,0.3080294427054725,2.475972064855216,2.5047356130630667,93.4254960458135,7.248712814593926e+18,7.622061718972136e+18,6.226894209798279e+18,-0.08780097366084337,3.6976527746377217,9.110554872200545,0.0001487578864844419,0.0282532384890227,0.0282532384890227,12.0,22,0,4.2934800659537927e-19,3.3704161121071885e-105,3.9382186493218325e-87,2.1343054722375975e-105,0.6332468755328928,1.12598914661806e-19,1.2965195888096519e-18,1.2244671686308544e-20,700.0,800.0,1.35,132.36269663357103,182.20389003272336,243.04264013671823,335.71202678633273,38.93720058775753,49.84119339915233,60.83875010399487,153.50813675360936,92.6693866496145,0.75,350.0,2.536303923421173,1.8425074608782483,1.3812885944519258,2.8,74.31038145724646,72.55511406317878,61.61774037080248,1.0066264384949315,0.06156995693078665,65.23238067122733,86.46820195011637,85.85525876036134,80.75372262073066,50.15482521540805,17.78821056220606,3.6110139232963863,20.549547835294298,22.392027768070385,32.88769644834729,91.22920010547588,92.06645661893725,29.37251789729896,8.88779836361535,9.587931169863769,14.21038059957702,42.31197411474511,71.61683916411152,84.31288788881183,capture_only,0.29244863554006095,0.20933689675981043,0.08056580448779879,0.00029344815379582484,2.767397500656706e-05,0.09649029933115565,0.06750621283636356,0.0015542634745407153,0.0001647405566602377,1.799592007948274e-05,1.0248407066842096,1.3199244205086922,4.847622071919167,4.843521271991029,5.413997376362435,7.763880007875414,7.871945750156938,5.328730122170793,4.547509386937129,4.489303856938551,5.0108033845905116,7.531646406372298,10.594785533125753,12.076080191971704,0.016930920756235205,0.032130265346365885,0.0,0.0,0.060993065193881764,0.3275904289552398,3.266100134841025,172,TrialState.COMPLETE
capture_only_v5_codex_trial_00181,2.0819793605375563,0.9045630095618721,0.5985541230553278,0.4781844107804652,0.10843025785017164,0.12078206777475914,0.08192949272315742,2.594366119181523e-07,717187.69209023,10736596092588.826,6.038088818246679e+19,0.5787074192720021,2.4320437992662423,0.04093300999496875,3.092889595308454,3.0237803857679717,0.6403645184543244,0.2866741997044308,2.5042701381167225,2.5046767222892097,93.95014874996315,7.209417051614968e+18,7.591133352080715e+18,6.17250400731554e+18,-0.08984524010928445,3.704341848693863,9.124774588681316,0.00013893027187709015,0.02641992125811746,0.02641992125811746,12.0,22,0,4.2934800659537927e-19,3.3570053454495973e-105,3.226946609225425e-87,1.7459480134681513e-105,0.5200909244409677,1.1170464313756356e-19,1.3158637418595737e-18,1.1886202773527156e-20,700.0,800.0,1.35,133.1349516004861,183.19789781630826,244.50052024711553,338.8893552633903,39.18480285052294,50.062946215822166,61.302622430807276,155.69145744708206,94.38883501627478,0.75,350.0,2.5454574564336494,1.8498539519443242,1.3860475835424662,2.8,73.97124262285955,72.2022962120297,61.08648318609464,0.9592965582580656,0.05988914517514112,64.82047052388937,86.44151616871999,85.83568364940733,80.7434073484526,50.548369423752845,18.564317520878628,3.8127086325821735,20.90428087363978,22.76180480159991,33.43711515657189,91.36707082180642,92.15436951741279,29.797420995328952,8.909382065697821,9.603254447965492,14.213658137341307,41.91779872073346,70.86574108109367,84.12646028837587,capture_only,0.28907262661793864,0.20634690738957423,0.07905069693966503,0.00028175494970899325,2.662919732669645e-05,0.09577094695523612,0.06691067848575166,0.0015207678596439636,0.0001590530596091443,1.7417949916938673e-05,1.0261159644009439,1.331804852170675,4.835403876882741,4.829552078980822,5.397350960393807,7.673350864985825,7.785714708214764,5.316858705779649,4.5533308186269466,4.494151224141445,5.018167007011714,7.532311087654074,10.569782344968091,12.060813661092048,0.013756849927440307,0.03441633264261385,0.0,0.0,0.06300049272369666,0.3237503761103564,3.274781216356582,181,TrialState.COMPLETE
