label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state
capture_only_v5_codex_trial_00264,2.0494649000773193,0.920680301717457,0.6251865433197195,0.4886568962728707,0.13128976947179763,0.0,0.08912056904950673,7.459515058552189e-07,268002.5350554741,38600510111689.23,6.1389002037616665e+19,1.411544416644096,1.2447312818789462,0.43600300144558835,1.8254224627558058,2.8258351049234522,0.5672863358128148,1.1679907568562946,2.866510005120829,1.135044734151589,89.10626518295422,9.672530989299358e+18,1.0164671586264515e+19,8.515034442767037e+18,-0.07690694244126602,3.0909595601437334,3.617696527556829,0.0005683072628054253,0.04909357905462057,0.04909357905462057,12.0,22,0,4.2934800659537927e-19,3.384913468785629e-105,8.168565125147636e-87,4.434858266284044e-105,1.3101836449234532,1.1356965376959083e-19,6.757865953408077e-19,2.899776925910287e-20,700.0,800.0,1.35,120.28779073551037,161.23576895637524,207.63545761421628,263.03797942464234,31.181525552556153,40.94797822086487,46.39968865784104,101.8022104682671,55.402521810426066,0.75,350.0,2.18673880213672,1.6313872605762263,1.2668259190747813,2.8,70.36445399035173,67.7609773725787,57.848326132598714,0.9024800263153312,0.060445746127847096,62.830552366322244,84.90650418397867,83.89902037114084,79.50025671582203,55.94136047534387,14.349375454599809,2.111311825010438,21.536347494771693,24.316786674825057,33.92601914317691,88.2678373229927,89.10964482720634,28.858862201742614,7.601635463637609,8.532194242492602,11.832040389683359,29.841593977383955,64.45325709334905,75.2746230209277,capture_only,1.3860175723347958,1.0788557707233846,0.4055857052909399,0.001026779237581049,7.740440874937757e-05,0.47796247903953715,0.37215531255624223,0.0076801771875449195,0.0007408933300003736,6.664392311249061e-05,1.0005549950824397,1.0492072486743393,6.713180942541773,6.843380181872866,7.82006901893345,10.828655871454366,10.829832022257069,7.967094962874458,7.013897873344188,7.196630073810331,8.527631502258041,14.209365370084635,21.196626558721153,22.61399851013874,0.0643339254731097,0.06732507562277451,0.04886191275822544,0.0,0.026325235092976282,0.11160881108042256,1.6446345638756101,264,TrialState.COMPLETE
capture_only_v5_codex_trial_00171,2.0520762181134,0.8947459952945149,0.6720051062060175,0.46423511128026923,0.18806532860131325,0.008128180863730898,0.11718600542561611,8.380548197390011e-07,300859.79512306384,51047389072262.98,6.548713784820768e+19,0.816222889116924,1.1052992227361162,0.43424900454738996,2.4505958260978145,2.86600197312149,0.8402566990138071,1.2326823030813683,2.7406975725335343,1.1376314501087461,77.66528473006564,1.3966631976559503e+19,1.4978584631107494e+19,1.1680848645644466e+19,-0.10799638098022014,3.0276433207267925,3.742543867382262,0.0006035934034912432,0.05443674903186501,0.05443674903186501,12.0,22,0,4.2934800659537927e-19,3.4960713639558276e-105,5.878455771379562e-87,3.236085267655529e-105,0.9256347856680699,1.211512050191842e-19,6.084663507144217e-19,1.678112246189609e-20,700.0,800.0,1.35,106.14982577429588,144.92807890577666,192.13279155645276,262.3719284143318,28.48454104423024,38.77825313148078,47.2047126506761,117.44384950855516,70.23913685787906,0.75,350.0,2.4717132270401243,1.810359527258413,1.365575997146959,2.8,68.79519611607775,66.03416600663277,55.55235259705519,0.660262290450268,0.03545026208663558,61.01658830723033,84.88171990516956,83.84582556260908,79.4368599731896,54.881496515679,13.619349088494555,1.7427853245620453,23.989067397714,26.934863241146946,37.274850622493176,90.36072474565165,90.98587314783694,31.743736737464847,8.471586588327398,9.473634502244842,13.0498736558497,33.12983744507369,69.17724653200183,80.0806368143304,capture_only,1.2644786520698228,0.9934646412530063,0.3825839103113738,0.0009284222140596475,7.050936169637806e-05,0.4372623153817522,0.3439170058638304,0.007467933380329122,0.0006873559898193819,6.083974397706901e-05,1.000520412907848,1.0682522554168281,5.951257834138431,6.037506110967304,6.790212870140255,8.978084541684012,8.978606080714727,6.914829849854964,6.209431191121299,6.3366229292822505,7.380319711654004,11.98119810586699,17.2027170235138,18.176517021363583,0.006613712318314787,0.05159855785215724,0.013975865689836263,0.0,0.044809372656847965,0.11766418566460635,1.6005673961520945,171,TrialState.COMPLETE
capture_only_v5_codex_trial_00285,2.060430350462536,0.9004331034113071,0.6336444099423629,0.4961693857337271,0.14592595841342193,0.0,0.0941988533779022,8.437807851461164e-07,261697.9803048137,40705402161182.734,6.211104807919474e+19,1.4713235228908919,1.1815137630218422,0.5075370149743758,1.764777330662253,2.801366771165268,0.5484380079197788,1.3220160531387926,2.660034537825743,1.1000060082874397,85.86618582010352,1.0030720988950766e+19,1.0477688200282647e+19,8.971638393649359e+18,-0.06739370956693982,2.8016086573019456,3.434687781144097,0.000637596864878645,0.04930761654943765,0.04930761654943765,12.0,22,0,4.2934800659537927e-19,3.404761638582816e-105,9.274563981996195e-87,5.0477134031001365e-105,1.4825453112192535,1.1490543894651028e-19,6.430429364798012e-19,3.023008312208747e-20,700.0,800.0,1.35,115.10863506528442,153.89332248013216,197.71673238245216,245.271514307622,29.242449245180893,38.78468741484774,43.82340990232001,91.37819182748984,47.554781925169834,0.75,350.0,2.130782926654591,1.5937761973999027,1.240519764575021,2.8,71.15843868475554,68.70806091887098,59.36983889701499,1.1061705013303496,0.07650426409947277,64.08318574446413,85.02663978945255,84.0733107588328,79.82287899420155,56.95758874596276,14.479490933074956,2.220954037888142,20.39823380022035,23.03727903654992,32.071094492281745,87.37119000645832,88.3992466925485,27.268457439459187,7.202846547582025,8.07068860929204,11.165091969013082,28.10579237316551,62.77650712242368,73.4737135156758,capture_only,1.5301372069982064,1.1962886948803577,0.4521184259310292,0.001186935820527576,8.938045235801132e-05,0.52968212317993,0.4142868426441637,0.008596741751868203,0.0008472013921518832,7.627986280875103e-05,1.0004704229533123,1.0313830673091051,6.9131903080259125,7.058371349698752,8.106948184772238,11.521452556390788,11.524159662899663,8.26352925519394,7.240831539785522,7.4417137892310095,8.855137862345488,14.928022139119866,22.743154743109216,24.305256166573255,0.06873696426667616,0.07434273361311962,0.063154635839927,0.0,0.018766647073879626,0.10173405303957991,1.457821137341778,285,TrialState.COMPLETE
capture_only_v5_codex_trial_00242,2.0635820812302885,0.9115139494567205,0.6246027660239681,0.4907646241273252,0.1315599844019582,0.0,0.08941819244525955,6.042318657271448e-07,267120.13122671895,38071715267622.64,6.143108653548663e+19,1.4668569198281962,1.224764438143882,0.5056219653098094,1.7796213632929865,2.8500682230377934,0.5633696306271844,1.0151912100256844,2.8159156046157463,1.1180231694819687,89.03599160073573,9.524325421107007e+18,9.994552509191533e+18,8.424115018694649e+18,-0.0742390661582782,3.0189396748592374,3.5343460073789967,0.0004951131345869537,0.04136175045798668,0.04136175045798668,12.0,22,0,4.2934800659537927e-19,3.386073513526311e-105,8.236947845698704e-87,4.472625751391046e-105,1.320888555291046,1.1364751009065027e-19,6.650415989086119e-19,3.013431805577742e-20,700.0,800.0,1.35,119.8330664764916,160.2336436918327,205.95252302348095,259.0054285943634,30.797074875755868,40.4005772153411,45.71887933164825,98.77178490253073,53.05290557088247,0.75,350.0,2.161385302154261,1.6164235089884886,1.2575977453057656,2.8,70.04729138526156,67.53196731837369,57.84564702919626,0.9807245876145462,0.06861527689020357,62.69625054660351,84.3772781948628,83.38049042199468,78.91142591010465,55.190326708561905,15.20888833160588,2.33791917924747,21.097840032544823,23.82177287608753,33.18993099894043,87.13523120747911,88.0471455832982,28.234565441365145,7.448359064423657,8.357910277696028,11.58262730724594,29.05378001888525,61.31507793188132,72.49690356357712,capture_only,1.6097078098658089,1.2536055508104906,0.470985147836149,0.001188586752138122,8.956776102203753e-05,0.5559422127568904,0.4331899619647878,0.008900885282779962,0.0008405119214064557,7.599914088849402e-05,1.0004542491919504,1.0437039182251213,7.245160772327824,7.392654254728287,8.49343682402716,11.882855618154215,11.884149572050568,8.670153203282768,7.618420527956648,7.828409338344506,9.342830483037103,15.746992387270083,23.475193224591386,25.16510125803452,0.0629377551929025,0.07973231313252922,0.0703492924935815,0.0,0.023975435274207865,0.10245864531635533,1.5837130622436115,242,TrialState.COMPLETE
capture_only_v5_codex_trial_00274,2.0642022347877425,0.9168221894528661,0.617743065010864,0.49683610560483715,0.11915375429112147,0.006830117439777837,0.09917460111172435,6.640914297239976e-07,250860.6753979668,36163932049986.11,6.282675159308043e+19,1.325499603619603,1.2531920738035482,0.48244987318953925,1.7414684455032285,2.907170285381517,0.5008461630633333,1.286013394176566,2.7897472622810593,1.1277148288707788,91.9616504723047,8.563592228877331e+18,8.940187314357994e+18,7.671238273989788e+18,-0.06648114576373346,3.0520294404785595,3.5413076550780147,0.0006232183942652961,0.05209135015244344,0.05209135015244344,12.0,22,0,4.2934800659537927e-19,3.4243219286486623e-105,6.782469404056377e-87,3.700362681232945e-105,1.0806117994557878,1.162294904471988e-19,6.837133949393377e-19,2.7237735109727656e-20,700.0,800.0,1.35,123.82660928563593,164.822092060559,210.33293563228642,260.4532557851709,31.864958813331228,40.99548277492306,45.510843571727435,95.6311637246119,50.12032015288446,0.75,350.0,2.1033706510074315,1.58020840852739,1.238290403745931,2.8,70.66816069689547,68.22223033584498,58.753398160156735,1.0265594355015761,0.06960002336888926,63.50150011344649,84.69859794677481,83.72236564982536,79.38080680463125,56.09872292476003,13.978981934273662,2.118771256588958,20.670144343679603,23.305772059246124,32.44084376101786,87.17580484501052,88.13138401962131,27.597020574379354,7.292348779042065,8.183396631755793,11.320059042279292,28.47486043512458,62.71824481448914,72.91723946658595,capture_only,1.5258873621627562,1.1938200938788077,0.453078688413801,0.00117763973197217,8.873578103326997e-05,0.5271376782910124,0.41262717506773305,0.008614766122916196,0.0008465259498013426,7.583930455247179e-05,1.0005691438886135,1.0621148358201158,7.135807597262186,7.278177511030092,8.352679390411605,11.79645807975595,11.79892722122879,8.516670428026245,7.481915595892124,7.681610543351122,9.142278027349846,15.417801873992484,23.301926725287405,24.963913437520546,0.06938151446187793,0.07560817099474931,0.06858356541423961,0.0,0.020427678834911943,0.10676455061051415,1.5786479902435444,274,TrialState.COMPLETE
capture_only_v5_codex_trial_00211,2.0645569473723535,0.9003493133575473,0.6535581754309482,0.4903814917294322,0.16312023572940873,0.0,0.08165442224977325,8.130431640876392e-07,304122.8024226157,41270387400053.68,6.034265665650793e+19,1.2679138023721142,1.2452270738558533,0.5219719552934812,1.743243509839176,2.9186918941024746,0.5869010325222631,1.1959863758547833,2.76447579029658,1.0606717462911954,82.53615919895421,1.1737927318630316e+19,1.2324426007060976e+19,1.0376335753569946e+19,-0.07472268572005489,2.9453897119568273,3.392473297612672,0.0005549832037230419,0.047578991118498816,0.047578991118498816,12.0,22,0,4.2934800659537927e-19,3.355942395208264e-105,6.3778803367377e-87,3.4503179590909012e-105,1.0281219260549257,1.1163391481453967e-19,6.736453350061905e-19,2.6041772462007452e-20,700.0,800.0,1.35,110.86224439261136,147.28998444419085,185.83779846052795,225.21739240928147,28.32608519365715,36.42774005157949,38.5478140163371,77.92740796509062,39.379593948753524,0.75,350.0,2.03150670134089,1.5290747246607106,1.2119030373528545,2.8,69.59020018374432,66.83831002975977,56.63796768854355,0.8342056584469729,0.05977100728277934,61.67418583494031,84.3294410119762,83.25356761881841,78.61813108334832,54.11640124326167,12.950224532190344,1.830949527504836,21.854632790598977,24.79761165248044,34.67819024843895,87.86401598944566,88.65043306757167,29.52808350773116,7.7306723687856245,8.710574156875591,12.126465613202631,30.608719895708358,64.49491035486724,74.24735091061238,capture_only,1.5137987144768315,1.176256531080917,0.43870638132029577,0.0010615843713623313,7.950372333718708e-05,0.5241082583651825,0.4075367736168999,0.008307559372130522,0.000785998667199834,6.912866317000664e-05,1.000446532195135,1.0374444497039526,7.041368311179892,7.187821786678885,8.245135681697185,11.300716767735992,11.289716421422252,8.424620415972395,7.415778360872997,7.62832145068909,9.102926547001678,15.266571301657851,22.55407911427524,23.92163043321961,0.05751623636066038,0.06986751501481532,0.06072919512433197,0.0,0.013376456915623168,0.09995070257570458,1.4938803059283934,211,TrialState.COMPLETE
capture_only_v5_codex_trial_00294,2.065217261792955,0.9391813036995649,0.6191419694953846,0.4903771553223896,0.11950454110564371,0.010739960912971571,0.08482124176311326,7.54683854678733e-07,246887.20064030192,39100022708942.61,6.07842757068725e+19,1.2804239358659162,1.3327787832752882,0.4332578369070392,1.687792184505803,2.682472825739114,0.5294945780449564,1.1738324905731055,2.9477681047261184,1.1111450420609585,91.95861938619983,9.049558230794394e+18,9.49871288950802e+18,7.998305326724463e+18,-0.07466678193797417,3.2663515396620517,3.5619271571909126,0.0005548470384756426,0.05131840669213367,0.05131840669213367,12.0,22,0,4.2934800659537927e-19,3.3682002775470846e-105,9.542940090825e-87,5.1703546028943585e-105,1.5350496338833228,1.1245091005771412e-19,7.220981009167792e-19,2.6301005435386638e-20,700.0,800.0,1.35,124.23688064900394,165.34869638681306,210.5286884682794,262.41989775764966,32.27826126280411,41.111815737809124,45.17999208146634,97.0712013708366,51.891209289370266,0.75,350.0,2.112254399714386,1.587069650333078,1.246480466234362,2.8,69.82609867473249,67.1723020146475,57.01268488719948,0.8362047320664021,0.05621258475029565,62.05195269255595,84.57073951983813,83.52104140902843,78.96530301704118,54.84555559508555,13.151433985472146,1.8613025133568821,21.92115236370331,24.740294937833237,34.54663041990984,88.09912980866865,88.88215936683267,29.40735737294804,7.735374901236231,8.694749280786695,12.08079476730943,30.427723511075417,65.13651465894516,75.05629097521768,capture_only,1.3560787970202905,1.0535632072676222,0.3942217475042691,0.000981613716393168,7.386392351901615e-05,0.4689905855368492,0.36460884516997655,0.007492488090059751,0.0007158370986345892,6.343388838418905e-05,1.0004174447220728,1.0719778356817327,6.896670164543917,7.033839840251652,8.046462945386416,11.063683845548582,11.061554184493549,8.206048383736256,7.224894993388796,7.419600465014912,8.817168838452718,14.719228405749002,21.711335518484074,23.082343077537036,0.06479084301920075,0.06673407685644728,0.05324367966226772,0.0,0.02300749786737415,0.111427102428559,1.677745798137829,294,TrialState.COMPLETE
capture_only_v5_codex_trial_00275,2.065283548994821,0.9145446550096974,0.6182398204766034,0.4990405575411857,0.12470976176604567,0.0,0.08323503194254799,6.916054584832818e-07,250899.91498549975,35772846749544.734,6.056267318131784e+19,1.3274652525832893,1.1752907105804342,0.45224215747579416,1.658909214417536,2.694515685095977,0.5069637137437045,1.254661205659406,2.650357763353738,1.1484319967196246,90.65765471071873,8.491852719398408e+18,8.847816198544425e+18,7.640733111661058e+18,-0.06370106198958093,2.8441231214544054,3.556683380582961,0.0005833122428109678,0.047435311966473076,0.047435311966473076,12.0,22,0,4.2934800659537927e-19,3.3620549116985458e-105,6.6149693808587365e-87,3.581271340488307e-105,1.0652031077859494,1.1204094538543802e-19,6.3628940607393125e-19,2.7266086013040705e-20,700.0,800.0,1.35,121.9552015170815,163.03048154796886,210.16264783467514,263.24720120527667,31.297546806362774,41.075280030887356,47.13216628670628,100.2167196573078,53.084553370601526,0.75,350.0,2.158556567744306,1.6147115478391125,1.252587954698594,2.8,71.88792923596482,69.53507202132045,60.40326345668259,1.2290384772186154,0.08316366264903681,64.95635699140465,85.23915792750846,84.30131619332339,80.10431981261875,57.6990739803266,15.546319100354037,2.53566264237061,19.49827651969368,22.048765983792745,30.853965845414095,86.8052885298092,87.94068786987711,26.223661791145517,6.875870963982891,7.727921587286771,10.734775375051383,27.072812829634117,61.108374923910084,72.26323307353105,capture_only,1.5760655049000705,1.2248838096520227,0.45842877525634995,0.0012386397578004833,9.368620197888868e-05,0.5436818337866746,0.4226535011123359,0.008641734764743307,0.0008634157142088218,7.909014804864823e-05,1.000227982752783,1.0472966675469122,7.037728739441437,7.191278185234795,8.284341922646968,11.964434353214374,11.976054781271882,8.43280652007967,7.341289274721982,7.548108718277499,9.002575063383386,15.21947145527455,23.344442560021676,25.201025193950297,0.07012542028158937,0.08048131186262435,0.06972306740271496,0.0,0.022661499476546446,0.10607749999104088,1.500240848831058,275,TrialState.COMPLETE
capture_only_v5_codex_trial_00257,2.065531255522418,0.9274161307438024,0.6188221573864899,0.49501261725259,0.11699261823872512,0.0022159583898434436,0.09559323661781208,7.086860945476046e-07,259997.63686513284,35843850481249.305,6.2310787634485805e+19,1.4695259045771725,1.2660143849070553,0.4716349359142705,1.6091264938946694,2.901936900545639,0.5002571034695418,1.1710165313684182,2.900382937851386,1.092401584059589,92.4020760343286,8.776503814751091e+18,9.177154041276431e+18,7.832618367548684e+18,-0.0688010548102478,3.1654726492287497,3.461537123630788,0.0005709152438921987,0.04883312513448029,0.04883312513448029,12.0,22,0,4.2934800659537927e-19,3.41023183855068e-105,7.290321185975049e-87,3.970476330770444e-105,1.164283403223947,1.1527495712379874e-19,6.895005064191927e-19,3.019431996692761e-20,700.0,800.0,1.35,124.35309251597737,165.1471989767198,209.56245056570782,257.84291818735664,31.951016481648765,40.79410646074244,44.41525158898801,92.69571921063684,48.280467621648825,0.75,350.0,2.0734741128712018,1.5612915010668986,1.2303870158576458,2.8,70.01959256654088,67.45781658387372,57.68297052120196,0.9318428042465928,0.06487169993391832,62.56504572223254,84.41626700880538,83.39532194367428,78.91630466420432,55.053128906442396,13.716483890826447,2.0451191682455616,21.263432539553886,24.014958522589293,33.4584753735791,87.35937466426039,88.22972237264139,28.47447533667576,7.50832623546506,8.438018615513126,11.691704516359936,29.412438864643686,63.09883100859103,73.19228215669351,capture_only,1.5339427836764714,1.1990196534377129,0.45350247953923956,0.0011448811742199917,8.608829655469744e-05,0.5300580070547894,0.41455315951068056,0.008612878460480623,0.0008307793533452798,7.403235432952316e-05,1.0003088790897383,1.0583408997094845,7.183032110228769,7.328205240099277,8.405051625679704,11.707637650318793,11.705319839128157,8.577063680791198,7.545348748674772,7.7521062813019235,9.234876655913135,15.525819350453434,23.183854321229187,24.762524642706623,0.07328707576078321,0.07450066876473203,0.06722609525582376,0.0,0.019126723568248464,0.10643863428374513,1.6144991422737682,257,TrialState.COMPLETE
capture_only_v5_codex_trial_00207,2.065813506629217,0.9080086409799732,0.6577330365324472,0.4813739722087498,0.16537875903555643,0.0,0.08254907557100138,7.86951182715139e-07,318209.0134727647,41981485980439.24,6.046709158347698e+19,1.2290406458961036,1.311997138491506,0.5250226338138156,1.8078460416926285,2.996180854262792,0.6508644711669987,1.320079931491098,2.864123433147742,1.0518310291960085,82.07246699491738,1.2368318413914737e+19,1.3083838624032766e+19,1.0729013184443322e+19,-0.08617539992298057,3.07810428823158,3.416590886363608,0.0006195238374049382,0.05560546852748138,0.05560546852748138,12.0,22,0,4.2934800659537927e-19,3.3594008225151448e-105,6.343655372467894e-87,3.4332632109020674e-105,1.0219867745140405,1.1186411942943242e-19,7.100687606614572e-19,2.5243973122778068e-20,700.0,800.0,1.35,110.77098147335012,147.89505700214332,187.76659569184451,232.2989320044038,28.69851447843274,37.1240755287932,39.8715386897012,84.40387500226049,44.532336312559295,0.75,350.0,2.0971099913950977,1.5707011222223424,1.237168577022316,2.8,68.65527493515714,65.75498265885447,55.10830257775878,0.6879890924652674,0.047399718916102535,60.34969960766166,83.97743060165133,82.84808936059532,78.04527017080092,52.67637824280084,11.612244835778299,1.514193851233857,22.865115560235665,25.94858336796608,36.265769321290044,88.27481725764443,88.9287028748076,30.899035953776007,8.092386556190664,9.124625047138133,12.703768953242777,32.08844698615101,66.1924663505361,75.12780325123451,capture_only,1.4431785412998694,1.120867118652266,0.4176975836072814,0.0009770777116625477,7.322645052383316e-05,0.5001149313747029,0.3888354841133363,0.007958701870371348,0.0007401821266858066,6.397808839186374e-05,1.0003370106899292,1.043077047495364,7.036430963307353,7.175566854527174,8.208230517343898,11.036216572178642,11.023824179825793,8.396113725309668,7.430067910783297,7.638450108153192,9.105413388820343,15.227216069177786,22.194548631558934,23.35793891944325,0.04733208695449491,0.06628449679335831,0.05675232739489856,0.0,0.018691844590572184,0.10186750924047137,1.5584496192373432,207,TrialState.COMPLETE
capture_only_v5_codex_trial_00210,2.0661741318415254,0.9108944953869033,0.6546593415631586,0.4850507865313255,0.1604919258792115,0.0,0.08206769917914593,8.422884352938525e-07,303045.68404903874,42650321567767.97,6.040010637860299e+19,1.268040361099419,1.2271152698527068,0.5245926863542515,1.6527127321337052,2.9042702920936825,0.6111471525557456,1.2122241497813426,2.889728369472319,1.0195994856475452,83.11636852811198,1.2014583836293091e+19,1.2673842167370865e+19,1.0505629788928952e+19,-0.0814862018711255,3.1146784724974834,3.3082513639926385,0.000562123330025362,0.050580138161569616,0.050580138161569616,12.0,22,0,4.2934800659537927e-19,3.357539541420937e-105,6.394893350706625e-87,3.4602013540415618e-105,1.0305765014392585,1.1174019680041554e-19,6.63977596724147e-19,2.604466689287326e-20,700.0,800.0,1.35,111.89230171292661,148.54135191831278,187.0011240954527,227.60691279102366,28.775933184814633,36.649050205386175,38.45977217713991,79.06556087271088,40.605788695570965,0.75,350.0,2.034160610753875,1.5322797985317336,1.2171419497716183,2.8,68.52479870320867,65.64497541462698,55.058053761740645,0.7093047065804571,0.050255886141412284,60.28293576166324,83.89048124811039,82.75882905844524,77.95006782450238,52.60779808809392,11.804311816246692,1.5666096869952653,22.833373102979508,25.914511566407963,36.214242142939035,88.15158355883992,88.82546879560213,30.865043427938,8.083700004230304,9.118361734024493,12.699882343419725,32.011215497644514,65.85686965070809,74.8962896625443,capture_only,1.5607409528715852,1.2135058996218733,0.45249777146486186,0.0010570730926095433,7.908169993450743e-05,0.5416823096094184,0.42159148556231396,0.008617168357414995,0.0007970650960160304,6.895981643550395e-05,1.0003912457988662,1.0447038736379262,7.0810872409402394,7.227007119343185,8.275206323855452,11.138054661487033,11.124196236556523,8.467015463558306,7.484136438049886,7.70121772196793,9.192180026667186,15.372369245904144,22.338021467949222,23.537031690644024,0.053154744983941765,0.06760021772802885,0.05818726247644758,0.0,0.015027602893062427,0.09840023849919827,1.5362508257328147,210,TrialState.COMPLETE
capture_only_v5_codex_trial_00232,2.066541143935273,0.9171104099964136,0.6162736307659511,0.4942988460273288,0.11771749118585721,0.0008782611621484866,0.09817771906456858,5.818962924546768e-07,264918.50518352736,34317954320149.594,6.2682704093745316e+19,1.446432514063735,1.2551285989474925,0.4871234307580075,1.7611980580626356,2.9952205000003733,0.5236079455164048,1.1197060413616102,2.8058981097171087,1.141934590384459,92.16568406839923,8.556093752682337e+18,8.950449297646083e+18,7.62292219184699e+18,-0.06972334983001342,3.043458577215732,3.5848367374538745,0.0005530788850107123,0.045650289159253774,0.045650289159253774,12.0,22,0,4.2934800659537927e-19,3.4203940789745284e-105,7.827046038189172e-87,4.268174373895659e-105,1.2478604147201962,1.1596300257342885e-19,6.844354429286893e-19,2.9721961832604605e-20,700.0,800.0,1.35,124.17194996984571,165.88927903281788,213.18977445745534,267.8568077360773,32.00626590144648,41.71732906297217,47.30049542463746,101.96752870325943,54.66703327862197,0.75,350.0,2.1571442487705514,1.6146722036394359,1.2564242746526826,2.8,70.56090245731936,68.11991075164346,58.66708052044263,1.0426339615831646,0.07102599003175514,63.40641310866547,84.55893702744476,83.58564186990114,79.21922554591615,55.864348218013646,15.241292050830419,2.3971861076269776,20.594847917377052,23.23567530808568,32.35026896960654,86.91834528936008,87.88566462987956,27.51218220586237,7.266708795535992,8.155394388346524,11.284263735073043,28.368046358420045,60.987399117314155,72.02125973550157,capture_only,1.5716189068820745,1.2279228650693101,0.46461987859367104,0.0012078469343037338,9.137200851972707e-05,0.5430266728881249,0.4246107094792979,0.00883299640183507,0.000854363098137177,7.760387348015462e-05,1.0003328615734457,1.0541741206030943,7.27263071842153,7.416491075201548,8.51803063135718,12.037812902122438,12.043218008080153,8.687396786389563,7.631327504131134,7.834353032273032,9.33533387452,15.758772427164482,23.7704544687573,25.581476552997984,0.0680948050748126,0.08112526627939846,0.07347799504843015,0.0,0.024522205820035184,0.10657032248531624,1.602916814108743,232,TrialState.COMPLETE
